ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Feedback,ReviewDateKey
390,31,No,Travel_Rarely,1232,Research & Development,7,Master,Medical,1,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Yes,14,3,3,80,0,11,2,2,11,9,4,10,Managers are too busy to give feedback only once a month They are not on the same page with the lead and its quite confusing what theyre looking for sometimes They dont really put you in a team that matches your experienceinterest You can get stuck in a team for at least a year when you start working there Extremely high workload,20210530
391,29,No,Travel_Rarely,144,Sales,10,Others,Marketing,1,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Yes,14,3,1,80,2,7,2,3,7,7,1,7,lousy commute expensive rent high cost of living bad life style choices by peers abrasive managers,20210516
392,35,No,Travel_Rarely,1296,Research & Development,5,Master,Technical Degree,1,3,Male,62,3,3,Manufacturing Director,2,Single,8095,18264,0,No,13,3,4,80,0,17,5,3,16,6,0,13,I used to love this company and thought we contributed a great deal to help the industry and society and that we could do no harm Unfortunately I dont believe this about the company anymore and I have recently lost a great deal of confidence in the current leadership team The company has recently become run much more top down than the bottoms up nature of the years past,20210415
393,23,No,Travel_Rarely,1309,Research & Development,26,Others,Life Sciences,1,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,No,12,3,3,80,2,4,2,2,4,2,0,2,no training place you on a team without consulation not much control of your career manager driven if manage is not competent of does not like you things are very bad,20210506
394,41,No,Travel_Rarely,483,Research & Development,6,Bachelor,Medical,1,4,Male,95,2,2,Manufacturing Director,2,Single,6032,10110,6,Yes,15,3,4,80,0,8,3,3,5,4,1,2,Ive since left Google many of my earlyday colleagues have moved to more nimble environments where the work has a deeper impact The company has gotten very heavy with many layers of experts all who bring the complexity they developed from other worldclass companies they have worked in ,20210407
395,47,No,Travel_Frequently,1309,Sales,4,Others,Medical,1,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,No,19,3,1,80,0,5,3,3,0,0,0,0, Great great perks They really make you feel taken care of as an employee and as a person Great pride when you realize how the company is changing the world in a positive way and you are part of it Really nice people with not many big egosA300,20210418
396,42,No,Travel_Rarely,810,Research & Development,23,Doctor,Life Sciences,1,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,80,0,16,2,3,1,0,0,0,For experienced workers mostly people are looking for greater challenge more $$$$$$ and moving up the ladder This seldom occurs,20210402
397,29,No,Non-Travel,746,Sales,2,Bachelor,Life Sciences,1,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,No,14,3,1,80,1,4,3,2,4,3,0,2,Overworked Management can be a nightmare to work with,20210410
398,42,No,Travel_Rarely,544,Human Resources,2,Others,Technical Degree,1,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,Yes,11,3,3,80,1,4,5,3,3,2,1,0,Way too many middle managers Employees are mired in cycles of performance reviews the dreaded calibration being graded on the curve etc Competitive political workplace,20210304
399,32,No,Travel_Rarely,1062,Research & Development,2,Bachelor,Medical,1,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,No,13,3,3,80,1,8,4,3,8,0,0,7,Benefits are unmatched by other employers Office environment is over the top,20210406
400,41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,80,0,8,0,1,6,4,0,5,This is no longer a startup You cant expect to go to Google these days and become a millionaire As some reviewers have said there is basically no room for advancement so it is a deadend job They do discriminate by schools Say if you attended Arizona State you would get paid $20k less than the same person graduating from Berkeley or Stanford It is pretty ridiculous like that,20210407
401,37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,1,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,80,0,7,3,3,0,0,0,0,1 We only say that we have free food and all other crap how does it help me as a person  2 Peers are arrogant and i have seen its like stanford etc are great  ps i am from stanford too though but the general attitude around is like every other place is bad  3 recruitment process is not good though i did get it due to my background i dont think they see skillsets,20210407
402,28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,1,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,80,0,6,4,3,4,2,0,3,Lack of respect toward other employees domineering behavior inappropriate initial placement in the company extremely poor treatment of employees by management lack of recognition barbaric management style unprofessionalism sense of entitlement and generally very poor human behavior On my first day on the job I was horrified to find my new manager yelling and treating me in a demeaning way,20210511
403,36,Yes,Travel_Rarely,1218,Sales,9,Master,Life Sciences,1,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,80,0,10,4,3,5,3,0,3,underpaid interview process takes too long the work and place is not as cool as it may seem cutting perks and benefits,20210518
404,34,Yes,Travel_Rarely,699,Research & Development,6,Others,Medical,1,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,80,0,8,2,3,4,2,1,3,Google fortunately is the worst company I have ever worked for It attracts so many talent people to work for this company but in fact the only give software engineers the special treatment Ive seen so many great engineers in operation team were treated like nothing,20210408
405,32,Yes,Travel_Frequently,1125,Research & Development,16,Others,Life Sciences,1,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,80,0,10,5,3,10,2,6,7,all benefits at Google are provided so as to keep you at work as long as possible Serious egotism is a problem,20210525
406,39,Yes,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,1,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,80,1,19,6,4,1,0,0,0,Never get to see my product make it to launch,20210523
407,24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,80,1,6,2,2,2,0,2,0,unorganized no focus to individual efforts,20210528
408,50,Yes,Travel_Rarely,869,Sales,3,College,Marketing,1,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,80,0,3,2,3,3,2,0,2,1 Current Recruiting practice has some very strange practices and the rather junior mediocre recruiting staff are afraid to challenge  2Inflexible recruiting practices that hire against a set of ideals vs business needs At least 1000 people a day are screened out due to ridiculous ideals that are never questioned  3Recruiting practices that do not improve without 18 layers of approvals,20210309
409,26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,1,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,80,0,1,2,2,1,0,0,1,Lack of proper work life balance deadlines deadlines deadlines Conference calls can be weird times of the day but overall satisfying,20210526
410,41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,1,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,80,0,23,0,3,22,15,15,8,Poor communications between software development uniits were tolerated by management Management never communicated its goals leaving engineering and consulting in the dark Software quality was so poor that customers were dissatisfied and continuously threatening to halt the projects Payment was withheld leading to more pressure to cut costs and diminished software quality,20210504
411,48,Yes,Travel_Rarely,626,Research & Development,1,College,Life Sciences,1,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,80,0,23,2,3,1,0,0,0,Shocked by the rather incompetent recruiting leadership on the sales team supporting at best a rather mediocre experience for hiring managers and candidates  Rote robot like recruiting process which is driven by levels and espouses in the box thinking  Middle managers Staffing Managers are the epitomy of lets do things to please Larry vs lets question and innovate,20210305
412,28,Yes,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,1,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,80,0,2,3,2,2,2,2,2,Management coworkers try to directly copy other products location,20210329
413,36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,1,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,80,1,2,0,2,1,0,0,0,You are encouraged to work against your teammates in your fight to the top and talk bad about them Building a sense of community is discouraged,20210525
414,46,Yes,Travel_Rarely,669,Sales,9,College,Medical,1,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,80,0,9,3,3,9,8,4,7,Google sucks when it comes to bringing on board new talent with a strong and accomplished caliber and assisting its integration into the operations Instead of making the younger and less experienced workforce absorb the experience and KnowHow Google embraced a weak and overly flat environment which allows the least experienced ones set the tone and fight off external KnowHow and experience,20210525
415,37,Yes,Travel_Rarely,807,Human Resources,6,Master,Human Resources,1,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Yes,22,4,4,80,0,7,3,3,3,2,0,2,Ex mcKinsey folks become sheep like here and forget that their insights could be used to affect change at a Recruiting function that is lackluster take them out of The gplex they couldnt recruit top talent Several recruiting leaders from the UK and seem to lack basic strategy skills but excel at their own PR Recruiting is a protracted process that doesnt need to be,20210326
416,20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,1,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Yes,18,3,2,80,0,1,5,3,1,0,1,0,too much work too much stress politics is growing hyper competetive know it alls abound in this company not even the best conpany to work for in bay read,20210317
417,25,Yes,Travel_Rarely,240,Sales,5,Bachelor,Marketing,1,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,Yes,11,3,4,80,0,6,1,3,6,4,0,3,People here dont know how to program,20210325
418,34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,1,1,Male,66,1,2,Laboratory Technician,3,Single,6074,22887,1,Yes,24,4,4,80,0,9,3,3,9,7,0,6,my manager was aggressive my manager illegally harassed me HR did nothing about it I ended up seeking counseling about the problems I was having with my manager when I told her manager what was going on he told me I should manup and grow a pair when I confided in a colleague for advice that person decided to gossip to the rest of the team about the problem,20210314
419,56,Yes,Travel_Rarely,441,Research & Development,14,Master,Life Sciences,1,2,Female,72,3,1,Research Scientist,2,Married,4963,4510,9,Yes,18,3,1,80,3,7,2,3,5,4,4,3,The competition for the job is extremely intense You will get some very tough interview questions but as long as you get through those interviews you are okay,20210325
420,31,Yes,Travel_Rarely,249,Sales,6,Master,Life Sciences,1,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Yes,18,3,2,80,0,12,3,2,7,7,7,7,very slow to get anything done you work for your OKRs not for your passion 20 time is a myth ,20210321
421,58,Yes,Travel_Rarely,147,Research & Development,23,Master,Medical,1,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,No,12,3,4,80,1,40,3,2,40,10,15,6,Most of what you hear about working at Google is just hype The reality doesnt live up to it  Shitty passiveaggressive middle management  Systematically rewards only short term results which leads to exponential compounding of code cruft I mean they give explicit instructions for calibration and promo to consider only demonstrable benefits of the last 6 months of work,20210502
422,19,Yes,Travel_Rarely,528,Sales,22,Others,Marketing,1,4,Male,50,3,1,Sales Representative,3,Single,1675,26820,1,Yes,19,3,4,80,0,0,2,2,0,0,0,0,If you get stuck with a bad manager in a chain of people who aim to protect that person good luck  Low base salary  Very hard to advance  Some groups can be very political,20210514
423,31,Yes,Travel_Rarely,542,Sales,20,Bachelor,Life Sciences,1,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3,Yes,11,3,3,80,1,4,2,3,2,2,2,2,I came in under an acquisition excited to take on a new role I found the acquisition team to be unprepared and without answers My team members were confused about who even their new managers would be While no one expected handouts it was hard to find someone even interested in assisting those who came on with temporary roles It was starting from scratch to find a place in the big Google world,20210321
424,51,Yes,Travel_Frequently,1150,Research & Development,8,Master,Life Sciences,1,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,No,15,3,4,80,0,18,2,3,4,2,0,3,Google opened the Kirkland office to poach from Microsoft and Amazon Looks like they got what they wished for The office and Google internally is just brimming with politics and useless processes now All the good Engineers havewill leave very shortly,20210525
425,32,Yes,Travel_Rarely,1033,Research & Development,9,Bachelor,Medical,1,1,Female,41,3,1,Laboratory Technician,1,Single,4200,10224,7,No,22,4,1,80,0,10,2,4,5,4,0,4,Very corporate now The company is hierarchical and there is little to no access to management at the top Long hours and no work life balance,20210312
426,19,Yes,Travel_Frequently,602,Sales,1,Others,Technical Degree,1,3,Female,100,1,1,Sales Representative,1,Single,2325,20989,0,No,21,4,1,80,0,1,5,4,0,0,0,0,Entitlement damaging competitiveness and misogyny just to name a few Throw an ineffective HR team in the mix and it is actually not a very supportive or pleasant place to work I worked in a group that was dominated by men who actively did not like women My male boss actually stated in a 11 with me once that he though several recent promotions were to fill some sort of promote women quota ,20210424
427,19,Yes,Travel_Rarely,303,Research & Development,2,Bachelor,Life Sciences,1,2,Male,47,2,1,Laboratory Technician,4,Single,1102,9241,1,No,22,4,3,80,0,1,3,2,1,0,1,0,horrible management no training too many people and not enough hours to work,20210528
428,41,Yes,Travel_Rarely,1356,Sales,20,College,Marketing,1,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Yes,22,4,4,80,0,4,5,2,4,3,0,2,No Union no sense of security horrible working conditions your not allowed to have a voice No one seems to know whats going on rules change every week There are non stop emails and sometimes even phone calls during your personal time Even after a 10 hour shift you only get 30 minutes lunch You often have to perform the role of 3 people at once,20210328
429,35,Yes,Travel_Rarely,556,Research & Development,23,College,Life Sciences,1,2,Male,50,2,2,Manufacturing Director,3,Married,5916,15497,3,Yes,13,3,1,80,0,8,1,3,1,0,0,1,Management  I personally experienced the worst management My boss didnt know how to be a manager and would always try and steal my work and then take credit for it later Super micromanager His boss way just as bad and the director of our department is a joke A lot of favoritism and politics and ego filled people who think they are entitled,20210317
430,38,Yes,Travel_Rarely,1180,Research & Development,29,Others,Medical,1,2,Male,70,3,2,Healthcare Representative,1,Married,6673,11354,7,Yes,19,3,2,80,0,17,2,3,1,0,0,0,Be aware that internal mobility between ladderslocations are very difficult in some departments where internal recruiting is low CorpEng Corporate Engineering Department is one of the top department that is applying this policy since management is only interested in their own benefits Even you agree with some manager for mobility in other departments theyll try to interrupt the process,20210329
431,29,Yes,Travel_Rarely,121,Sales,27,Bachelor,Marketing,1,2,Female,35,3,3,Sales Executive,4,Married,7639,24525,1,No,22,4,4,80,3,10,3,2,10,4,1,9,Nothing to do Once you get there you could relax,20210525
432,32,Yes,Travel_Rarely,1045,Sales,4,Master,Medical,1,4,Male,32,1,3,Sales Executive,4,Married,10400,25812,1,No,11,3,3,80,0,14,2,2,14,8,9,8,Discriminate the lower level May be not the owner but the management is As signed paperwork it said equal opportunities but really is not Like myself I work myself off and willing to go extra mile but at the end they used all of your talent then said end of my contract,20210519
433,30,Yes,Travel_Rarely,1005,Research & Development,3,Bachelor,Technical Degree,1,4,Female,88,3,1,Research Scientist,1,Single,2657,8556,5,Yes,11,3,3,80,0,8,5,3,5,2,0,4,Be aware of the Google fairy tale The reality that I experienced is  1 The so called 20 project is already gone The first day I joined the team I was explicitly told there is no such thing called 20 project I was told to focus on this teams jobs 2 The legend of developer come up with ideas and had freedom to execute does not exist ,20210306
434,30,Yes,Travel_Frequently,334,Sales,26,Master,Marketing,1,3,Female,52,2,2,Sales Executive,1,Single,6696,22967,5,No,15,3,3,80,0,9,5,2,6,3,0,1,Does anyone in management or in the company as a whole have an EQ over 5 Forgot any ideas about equality respect and cultural sensitivity Also forget working here if you have anything more than about 5 years of experience  theyll try to exploit the hell out of you and take advantage of any knowledge or experience that you have that isnt part of your job,20210508
435,29,Yes,Travel_Rarely,992,Research & Development,1,Bachelor,Technical Degree,1,3,Male,85,3,1,Research Scientist,3,Single,2058,19757,0,No,14,3,4,80,0,7,1,2,6,2,1,5,6 bosses one task 6 different results Horrible leadership and communications process Internally dysfunctional and misleading Additionally they dont honor written contracts to pay employees,20210404
436,29,Yes,Travel_Rarely,896,Research & Development,18,Others,Medical,1,3,Male,86,2,1,Research Scientist,4,Single,2389,14961,1,Yes,13,3,3,80,0,4,3,2,4,3,0,1,Engineering culture lack of seasoned business management immature,20210403
437,33,Yes,Travel_Rarely,813,Research & Development,14,Bachelor,Medical,1,3,Male,58,3,1,Laboratory Technician,4,Married,2436,22149,5,Yes,13,3,3,80,1,8,2,1,5,4,0,4,All housing near HQ is priced for the top wage earners at Google so you cant buy a house and renting will eat your entire paycheck Googles coding environment is designed for the lowest common denominator and twisted to support a nearly infinitely large codebase 95 of your time will be waiting for spaghetti code to build fighting code review trolls following Google code style,20210327
438,33,Yes,Travel_Rarely,465,Research & Development,2,College,Life Sciences,1,1,Female,39,3,1,Laboratory Technician,1,Married,2707,21509,7,No,20,4,1,80,0,13,3,4,9,7,1,7,You are not really aloud to work on any if your ideas It takes years for the company to start a new project They do not volume anything you say Pay is not as good as competitors The offices look nice in ads but they are really cramped,20210412
439,32,Yes,Travel_Rarely,515,Research & Development,1,Bachelor,Life Sciences,1,4,Male,62,2,1,Laboratory Technician,3,Single,3730,9571,0,Yes,14,3,4,80,0,4,2,1,3,2,1,2,too much politics no matter how much you try to do your best it doesnt beat office politics no promotion unless you know how to play politics,20210409
440,37,Yes,Travel_Frequently,504,Research & Development,10,Bachelor,Medical,1,1,Male,61,3,3,Manufacturing Director,3,Divorced,10048,22573,6,No,11,3,2,80,2,17,5,3,1,0,0,0,Snobby childish one upmanship work culture Endless meetings Large campus creating an in crowd mentality It is a rotating door of temps  contractors,20210505
441,31,Yes,Travel_Frequently,307,Research & Development,29,College,Medical,1,3,Male,71,2,1,Laboratory Technician,2,Single,3479,11652,0,No,11,3,2,80,0,6,2,4,5,4,1,4,You work for a company that has no values what so ever and is doing all it can to violate customers privacy,20210319
442,28,Yes,Travel_Rarely,529,Research & Development,2,Master,Life Sciences,1,1,Male,79,3,1,Laboratory Technician,3,Single,3485,14935,2,No,11,3,3,80,0,5,5,1,0,0,0,0,Poor management There is really weird politics on this team Scheduling is HORRIBLE There is absolutely no worklife balance you get your schedule 3 days before you start working it for the week and there is no PTO since it is an hourly job Management does not treat you well there is little acknowledgment for great ideas and great performance there is a uniform and it is not comfortable,20210312
443,47,Yes,Non-Travel,666,Research & Development,29,Master,Life Sciences,1,1,Male,88,3,3,Manager,2,Married,11849,10268,1,Yes,12,3,4,80,1,10,2,2,10,7,9,9,Working at Google as a contractor is like working in a assembly line NO appreciation at all Even though contractors add to the more the same or more than regular employees Very disappointing I wouldnt recommend anyone to work as a contractor here,20210503
444,44,Yes,Travel_Frequently,920,Research & Development,24,Bachelor,Life Sciences,1,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,19920,3,Yes,22,4,4,80,1,19,0,1,1,0,0,0,Despite whats official the work expected of you and thus the hours that go into the job are ridiculous and not one that you can expect any sane company to expect,20210331
445,26,Yes,Travel_Rarely,1449,Research & Development,16,Master,Medical,1,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Yes,13,3,4,80,1,5,2,3,3,2,0,2,Not being treated as an equal employee when contractors contribute same if not more than regular full time employees Very discouraging,20210328
446,26,Yes,Travel_Rarely,950,Sales,4,Master,Marketing,1,4,Male,48,2,2,Sales Executive,4,Single,5828,8450,1,Yes,12,3,2,80,0,8,0,3,8,7,7,4,The place smell like mold the pay isnt enough they tell you that your fulltime and only put you on the schedule 1 or 2 days a week The management sucks and their very unorganized,20210408
447,18,Yes,Travel_Rarely,230,Research & Development,3,Bachelor,Life Sciences,1,3,Male,54,3,1,Laboratory Technician,3,Single,1420,25233,1,No,13,3,3,80,0,0,2,3,0,0,0,0,the politics the pressure the stress the backstabbing cutthroat colleagues the lack of transparency constant reorgs lack of job security the disposability of employees lies from management Human Resources team is a ship of fools,20210501
448,52,Yes,Travel_Rarely,723,Research & Development,8,Master,Medical,1,3,Male,85,2,2,Research Scientist,2,Married,4941,17747,2,No,15,3,1,80,0,11,3,2,8,2,7,7,Horrible place to work and management is completely removed from employees I would not recommend working here,20210329
449,28,Yes,Travel_Rarely,1157,Research & Development,2,Master,Medical,1,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,Yes,13,3,4,80,0,5,4,2,3,2,2,2,The interviewer asks for dates of college graduation and number of years of experience Then I was told that Google would not consider people with too much experience  The Google employees treat contractors like second class citizens who have nothing to contribute,20210403
450,39,Yes,Travel_Rarely,1162,Sales,3,College,Medical,1,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,Yes,18,3,1,80,0,12,3,2,1,0,0,0,If you are a contractor dont expect career growth Take your experience and leave If you are a vendor then expect to be in hell because you will not have any hopes for promotion or conversion If a full time position opens up on your team expect management to block your application even if you are qualified and once they hire a full time employee expect to have to train that person,20210320
451,29,Yes,Travel_Rarely,318,Research & Development,8,Master,Other,1,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Yes,11,3,4,80,0,7,4,2,7,7,0,7,management is not that great they never back up their employees but rather throw them under the bus,20210301
452,21,Yes,Travel_Frequently,756,Sales,1,Others,Technical Degree,1,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Yes,11,3,3,80,0,3,3,3,3,2,1,2,long work hours Very hard to maintain a good work life balance Constant fear of being fired Too much of a bureaucracy you feel like dont contribute to anything,20210323
453,33,Yes,Travel_Rarely,350,Sales,5,Bachelor,Marketing,1,4,Female,34,3,1,Sales Representative,3,Single,2851,9150,1,Yes,13,3,2,80,0,1,2,3,1,0,0,0,Being programmer means being creative Well not at Google You will have artificially created restraints in almost every aspect of your work  Here is an example readability In order to being able to commit some code at Google you would need to have a readability in a language youre writing this piece of a code It doesnt matter if you have 10 years of experience in that language ,20210330
454,41,Yes,Travel_Frequently,143,Sales,4,Bachelor,Marketing,1,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,No,18,3,3,80,0,8,5,3,8,7,7,7,There is no clear career progression and senior management is arrogant,20210309
455,40,Yes,Travel_Rarely,575,Sales,22,College,Marketing,1,3,Male,68,2,2,Sales Executive,3,Married,6380,6110,2,Yes,12,3,1,80,2,8,6,3,6,4,1,0,Where do I start If you have completed more than 5 years work in your career dont even consider joining this glorified telesales centre It is mindnumbing work filled with smart people bored out of their heads and quitely killing time to get the 2 year stint onto their CV The place is full of politics ,20210307
456,21,Yes,Travel_Rarely,156,Sales,12,Bachelor,Life Sciences,1,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,No,15,3,4,80,0,1,0,3,1,0,0,0,As it has grown big Google has become miserably stagnant when it comes to giving proper recognition to employees during perfcycles and promotion They manage to suck the top brains from fresh college grads from IITs IISc at a low package and yet quoting an attractive package which differs from CTC by at least 12000$ yearly,20210430
457,34,Yes,Non-Travel,1362,Sales,19,Bachelor,Marketing,1,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,Yes,13,3,2,80,0,9,3,2,5,2,0,4,Neverending workload and hours constant firedrill  change for changes sake lack of recognition very limited career opportunities for many all of whom are used to being high achievers highly political company rests on its laurels regarding its reputation as a great employer,20210414
458,26,Yes,Travel_Frequently,575,Research & Development,3,Others,Technical Degree,1,3,Male,73,3,1,Research Scientist,1,Single,3102,6582,0,No,22,4,3,80,0,7,2,3,6,4,0,4,Google is the only company Ive ever worked for where Ive had to put up with an endless supply of childish and disrespectful behavior coming from coworkers Its also the only workplace Ive been to where my manager behaves like a 12 year old,20210303
459,30,Yes,Travel_Frequently,464,Research & Development,4,Bachelor,Technical Degree,1,3,Male,40,3,1,Research Scientist,4,Single,2285,3427,9,Yes,23,4,3,80,0,3,4,3,1,0,0,0,too much pressure need to work over time benefit is not as good as before cancel some projects since they are not promising,20210428
460,25,Yes,Travel_Rarely,688,Research & Development,3,Bachelor,Medical,1,1,Male,91,3,1,Laboratory Technician,1,Married,4031,9396,5,No,13,3,3,80,1,6,5,3,2,2,0,2,you cannot focus on the actual work cos reorgs are happening all the time everything is so disorganized and chaotic,20210309
461,24,Yes,Travel_Rarely,1448,Sales,1,Others,Technical Degree,1,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Yes,16,3,2,80,0,6,4,3,5,3,1,4,Unprofessional Poor leadership No career growth Poor planning Unstructured No rewards or acknowledgment for doing good work,20210511
462,34,Yes,Travel_Frequently,296,Sales,6,College,Marketing,1,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,3,4,80,1,3,3,2,2,2,1,0,Since Larry became CEO things have changed Things have become more and more topdown and even the SVPs have assumed dictatorial role Starting anything new requires approval distributed offices are treated like filth,20210319
463,29,Yes,Travel_Rarely,408,Research & Development,25,Doctor,Technical Degree,1,3,Female,71,2,1,Research Scientist,2,Married,2546,18300,5,No,16,3,2,80,0,6,2,4,2,2,1,1,The spirit is gone Unengaged unless its an OKR of course employees Devoid of passion Peoplehostile The business is not focused on clients one bit at all The business main focus is on visibility creating endless trix excel sheets and meaningless presentations,20210403
464,19,Yes,Travel_Rarely,489,Human Resources,2,College,Technical Degree,1,1,Male,52,2,1,Human Resources,4,Single,2564,18437,1,No,12,3,3,80,0,1,3,4,1,0,0,0,Theyve become puppets of the corporate culture of the bottom line mentality at cost to their clients All they do now is fight legal battles and gouge clients budgets Sad Lots of turnover there If you dont do what they wantthey let you goeven if its unethical,20210519
465,33,Yes,Travel_Rarely,1277,Research & Development,15,Others,Medical,1,2,Male,56,3,3,Manager,3,Married,13610,24619,7,Yes,12,3,4,80,0,15,2,4,7,6,7,7,Bad Chairs  bad place for growth and i think people may get more depress after going to posh,20210520
466,33,Yes,Travel_Rarely,587,Research & Development,10,Others,Medical,1,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,No,13,3,1,80,3,8,2,3,4,3,1,3,Management sucks Lots of medicore managers waiting to get their stock options Lack of direction Lots office politics Salary is average,20210303
467,31,Yes,Travel_Frequently,534,Research & Development,20,Bachelor,Life Sciences,1,1,Male,66,3,3,Healthcare Representative,3,Married,9824,22908,3,No,12,3,1,80,0,12,2,3,1,0,0,0,Everyone is overqualified Projects you work on are not suited with your experiences,20210426
468,34,Yes,Travel_Frequently,988,Human Resources,23,Bachelor,Human Resources,1,2,Female,43,3,3,Human Resources,1,Divorced,9950,11533,9,Yes,15,3,3,80,3,11,2,3,3,2,0,2,Completely inflexible approach put a lot of stress on me and my family Terrible communications from HR department,20210428
469,22,Yes,Travel_Frequently,1368,Research & Development,4,Others,Technical Degree,1,3,Male,99,2,1,Laboratory Technician,3,Single,3894,9129,5,No,16,3,3,80,0,4,3,3,2,2,1,2,there were no cons I just got bored easy,20210411
470,26,Yes,Travel_Frequently,426,Human Resources,17,Master,Life Sciences,1,2,Female,58,3,1,Human Resources,3,Divorced,2741,22808,0,Yes,11,3,2,80,1,8,2,2,7,7,1,0,Too much politics especially in the Dublin office The management is so bad that people leave out of desperation frustration and so so much disappointment Stress and anxiety are very common among Googlers where everyone wants to excel It is you against them and you are pushed to work harder and harder and harder every day,20210423
471,18,Yes,Travel_Frequently,1306,Sales,5,Bachelor,Marketing,1,2,Male,69,3,1,Sales Representative,2,Single,1878,8059,1,Yes,14,3,4,80,0,0,3,3,0,0,0,0,Politics Politic politics and er Smart people Free food Lots of interesting work,20210530
472,26,Yes,Travel_Rarely,471,Research & Development,24,Bachelor,Technical Degree,1,3,Male,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Yes,18,3,2,80,0,1,3,1,1,0,0,0,Politics overshadow work and managers and coworkers are empowered to cut each other down to compete for projects and promotions There is an unfair treatment of technical women with families where coworkers and managers are empowered to question your abilities based on family obligations even though its unrelated to work,20210523
